brand,category,condition,size,sample_size,avg_price,median_price,min_price,max_price,avg_days_listed,avg_days_to_disappear
ralph lauren,brand_ralph_lauren_hoodie,very good,m,159,22.69,21.0,4.0,50.0,4.6,6.1
carhartt,brand_carhartt,very good,l,155,20.55,18.0,6.0,75.0,3.3,6.1
polo ralph lauren,brand_polo_ralph_lauren,very good,xl,150,18.02,12.0,5.0,80.0,4.5,6.0
nike,brand_nike_hoodie,good,s,149,6.4,5.0,3.0,30.0,3.9,5.5
bershka,brand_bershka,new with tags,s,148,12.07,10.0,3.0,85.0,3.7,5.7
adidas,brand_adidas_shoes,very good,8,148,25.77,24.99,4.0,100.0,2.9,5.0
nike,brand_nike_hoodie,very good,xs,147,9.63,7.0,3.0,65.0,4.0,6.0
adidas,brand_adidas_shoes,very good,4,146,21.5,20.0,3.5,60.0,3.4,5.6
palace,brand_palace_hoodie,very good,s,145,42.13,35.0,12.99,140.0,9.0,8.5
h&m,brand_hm,new without tags,s,143,7.11,5.0,3.0,45.0,3.4,4.8
unknown,brand_supreme,very good,unknown,142,63.81,23.0,3.0,850.0,5.9,6.6
polo ralph lauren,brand_ralph_lauren_hoodie,very good,l,142,27.45,24.5,10.0,110.0,4.3,6.8
ralph lauren,brand_ralph_lauren_hoodie,very good,s,140,21.44,18.5,5.0,90.0,4.2,6.3
zara,womens_tops_and_tshirts,very good,s,139,5.67,4.0,1.0,25.0,4.1,4.6
palace,brand_palace_hoodie,very good,l,139,56.22,40.39,15.0,180.0,10.0,9.0
ralph lauren,brand_ralph_lauren_polo_shirt,very good,s,138,15.64,13.0,3.5,60.0,2.7,5.5
nike,activewear,very good,l,137,12.81,8.0,1.0,140.0,3.1,5.5
carhartt,brand_carhartt_jacket,very good,xl,135,47.27,40.0,18.0,150.0,4.5,6.6
next,womens_dresses,very good,m,134,4.09,3.5,1.0,15.0,4.1,5.4
carhartt,brand_carhartt_t_shirt,very good,xl,132,11.37,10.0,3.0,36.99,4.3,5.8
nike,brand_nike,very good,xl,132,12.16,8.0,3.0,80.0,2.8,5.1
carhartt,brand_carhartt,very good,s,131,21.55,18.68,4.0,60.0,3.6,6.2
adidas,brand_adidas,very good,xl,130,13.99,10.0,3.0,97.5,4.1,5.1
polo ralph lauren,brand_ralph_lauren_shirt,very good,m,129,16.11,15.0,4.0,55.0,3.0,5.3
polo ralph lauren,brand_ralph_lauren_polo_shirt,very good,xl,129,14.28,12.0,3.0,55.0,4.3,5.8
nike,brand_nike_tech_fleece_trousers,good,s,129,10.06,10.0,3.0,25.0,7.3,8.2
h&m,brand_hm,new with tags,m,128,9.15,6.0,3.0,50.0,2.5,5.4
nike,brand_nike_tracksuit,very good,xl,128,20.44,16.0,3.0,80.0,3.5,5.7
nike,brand_nike_tech_fleece_trousers,good,m,126,11.22,9.5,3.0,40.0,8.9,8.2
h&m,brand_hm,new without tags,m,123,6.82,5.0,3.0,40.0,3.1,5.0
nike,brand_nike_tech_fleece_trousers,very good,l,122,15.54,13.43,4.0,45.98,7.8,7.7
nike,brand_nike_hoodie,good,l,121,7.52,7.0,3.0,25.0,4.3,5.8
new look,womens_dresses,very good,s,121,3.07,3.0,1.0,10.0,3.7,5.6
polo ralph lauren,brand_ralph_lauren_shirt,very good,l,118,17.61,15.0,5.0,55.0,2.8,5.1
ralph lauren,brand_ralph_lauren_polo_shirt,very good,xl,117,13.35,11.39,3.0,65.0,3.5,5.8
nike,brand_nike_t_shirt,good,m,116,5.46,4.0,3.0,20.5,4.3,5.8
adidas,brand_adidas_shoes,very good,9,116,27.51,25.0,3.0,69.99,1.9,4.9
adidas,brand_adidas_shoes,very good,5.5,115,25.92,25.0,3.5,69.0,3.0,5.3
nike,brand_nike_tracksuit,good,s,114,11.31,8.0,3.0,50.0,3.6,5.7
nike,brand_nike_tracksuit,good,m,114,16.37,12.0,3.0,81.0,4.2,5.6
supreme,brand_supreme_t_shirt,very good,m,114,26.06,25.0,10.0,80.0,8.4,8.5
palace,brand_palace_shirt,very good,s,111,24.06,20.0,4.0,85.0,7.8,8.2
nike,brand_nike_tech_fleece_hoodie,very good,xl,110,16.77,15.0,3.0,40.0,6.4,8.3
bershka,brand_bershka,new without tags,m,109,11.17,9.0,3.0,50.0,4.1,5.8
polo ralph lauren,brand_ralph_lauren_hoodie,very good,s,109,23.01,20.0,6.0,85.0,3.6,6.2
bershka,brand_bershka,new without tags,xs,109,8.33,6.0,3.0,35.0,3.6,6.0
zara,womens_dresses,very good,s,108,7.57,5.0,1.0,48.0,3.8,5.1
levi's,brand_levis,very good,w36,107,15.13,15.0,5.0,45.0,3.7,5.3
levi's,brand_levis,very good,xs,107,9.18,8.0,3.0,30.0,4.6,6.3
bershka,brand_bershka,new with tags,xs,107,11.57,10.0,3.0,35.0,3.3,5.7
zara,womens_jeans,very good,s,106,7.92,7.0,1.0,25.0,4.2,4.9
unknown,brand_palace,very good,unknown,106,16.05,8.0,3.0,120.0,4.7,7.3
zara,womens_outerwear,very good,m,105,17.47,15.0,3.0,93.0,2.9,4.9
carhartt,brand_carhartt_t_shirt,good,l,104,8.26,7.0,3.0,25.0,5.2,6.4
nike,brand_nike,good,s,103,6.77,4.28,3.0,30.0,3.5,5.4
next,womens_jeans,very good,m,102,5.4,4.0,1.0,25.0,3.3,5.1
nike,brand_nike_t_shirt,good,l,101,5.75,5.0,3.0,35.0,4.7,6.2
nike,brand_nike_tracksuit,very good,xs,101,17.58,10.0,3.0,140.0,4.5,6.0
marks & spencer,womens_jeans,very good,l,100,6.16,5.0,2.0,24.0,3.5,4.5
levi's,brand_levis,good,m,100,7.81,6.0,3.0,52.0,2.6,6.0
carhartt,brand_carhartt,very good,w34,99,23.29,22.0,10.0,65.0,3.3,5.8
zara,womens_skorts,very good,xs,99,6.23,5.0,2.0,30.0,7.4,6.7
supreme,brand_supreme_hoodie,very good,s,99,65.8,55.55,10.0,235.0,8.0,7.3
zara,womens_outerwear,very good,s,98,17.31,12.0,3.0,100.0,4.3,4.9
levi's,brand_levis,very good,xl,98,10.59,8.25,3.0,55.0,3.3,5.2
nike,activewear,very good,s,97,12.61,8.0,2.0,60.0,5.7,5.9
nike,brand_nike,very good,xs,96,7.09,5.0,3.0,36.0,3.7,5.6
bershka,brand_bershka,very good,l,96,10.33,7.0,3.0,50.0,3.4,6.2
marks & spencer,womens_outerwear,very good,m,95,13.76,10.0,2.99,40.0,3.5,4.5
supreme,brand_supreme_shirt,good,m,94,21.79,20.0,6.8,80.0,7.8,8.8
h&m,womens_dresses,very good,s,94,3.53,3.0,1.0,13.0,4.7,6.0
levi's,brand_levis,very good,w30,93,13.57,12.0,5.0,45.5,3.5,5.4
marks & spencer,womens_jumpers_and_sweaters,very good,m,93,6.96,5.0,1.0,42.5,3.2,4.4
carhartt,brand_carhartt,very good,w32,93,23.76,22.0,4.0,64.0,2.5,5.6
nike,brand_nike_tech_fleece_hoodie,good,m,93,15.16,12.5,3.0,94.99,7.2,8.2
carhartt,brand_carhartt_t_shirt,good,m,92,8.43,7.75,3.0,29.89,5.2,6.5
polo ralph lauren,brand_polo_ralph_lauren,good,m,91,14.37,10.0,3.0,120.0,3.5,6.1
new look,womens_dresses,very good,l,91,3.44,3.0,1.0,10.0,4.1,5.4
ralph lauren,brand_ralph_lauren_hoodie,very good,l,91,27.57,22.44,5.0,100.0,4.4,6.3
zara,womens_dresses,very good,m,91,6.39,5.0,1.5,27.0,3.3,4.9
palace,brand_palace,very good,m,91,46.23,34.95,5.35,500.0,6.5,8.0
supreme,brand_supreme_shirt,very good,s,91,32.74,30.0,5.6,120.0,5.8,6.2
marks & spencer,womens_dresses,very good,m,90,5.41,4.75,1.0,18.0,3.9,5.1
nike,activewear,very good,xl,90,15.43,10.0,3.0,65.0,3.9,5.3
nike,brand_nike,good,m,88,6.49,4.0,3.0,25.0,3.4,5.1
under armour,activewear,very good,m,87,11.74,8.0,2.5,55.99,3.7,5.3
nike,brand_nike_t_shirt,new without tags,m,87,7.45,5.0,3.0,28.0,4.2,5.5
zara,womens_tops_and_tshirts,very good,m,86,4.45,3.25,1.0,25.0,3.8,4.6
nike,trousers,very good,m,86,10.1,8.0,2.5,44.99,2.4,5.0
adidas,brand_adidas_shoes,good,6,85,16.93,13.95,3.0,42.5,3.7,5.6
new look,womens_jeans,very good,m,85,4.0,3.0,1.0,15.0,3.2,4.9
marks & spencer,womens_tops_and_tshirts,very good,m,85,3.74,3.0,1.0,13.0,2.3,4.9
adidas,brand_adidas_shoes,very good,6.5,84,25.65,22.49,6.0,105.0,2.6,5.2
under armour,activewear,very good,l,83,10.05,6.0,2.0,59.99,3.6,5.1
h&m,brand_hm,good,m,83,4.92,4.0,3.0,20.0,4.3,5.2
h&m,brand_hm,new without tags,xs,83,6.98,5.0,3.0,35.0,3.8,5.3
polo ralph lauren,brand_polo_ralph_lauren,good,l,81,12.01,9.0,3.0,39.99,3.6,5.9
h&m,brand_hm,very good,xl,81,6.12,5.0,3.0,40.0,4.0,5.3
adidas,brand_adidas_shoes,very good,4.5,80,26.56,24.99,4.0,80.0,4.5,5.3
nike,brand_nike_tech_fleece_hoodie,good,s,80,11.15,10.0,3.0,45.0,7.1,8.3
supreme,brand_supreme,very good,m,80,63.8,50.0,3.0,224.99,6.0,7.3
marks & spencer,womens_tops_and_tshirts,very good,l,79,3.7,3.0,1.0,18.0,2.7,4.5
bershka,brand_bershka,new with tags,m,79,11.6,8.0,3.0,80.0,3.9,5.6
nike,brand_nike_t_shirt,new with tags,l,79,12.26,12.0,3.0,25.0,3.8,4.9
adidas,brand_adidas_shoes,very good,10,78,24.08,20.0,7.0,120.0,3.7,5.2
adidas,brand_adidas,good,m,78,8.35,5.0,3.0,40.0,3.8,5.3
carhartt,brand_carhartt,very good,xl,78,18.46,18.0,5.0,40.0,3.7,6.0
nike,brand_nike_tech_fleece_trousers,good,l,78,11.63,10.0,4.0,40.0,7.8,7.6
palace,brand_palace_shirt,good,m,78,17.8,15.0,6.0,45.0,9.4,7.6
polo ralph lauren,brand_ralph_lauren_hoodie,very good,xl,77,24.35,22.0,8.0,60.0,4.5,7.3
nike,brand_nike_tech_fleece_trousers,very good,xl,76,14.89,10.0,3.0,42.0,8.3,7.0
nike,brand_nike,good,l,76,6.86,4.0,3.0,35.0,3.7,5.4
shein,womens_skorts,very good,m,76,2.61,2.0,1.0,10.0,6.6,7.4
nike,brand_nike_hoodie,good,xl,76,7.69,6.75,3.0,27.99,4.0,5.7
nike,brand_nike,very good,6,76,23.05,20.0,4.0,80.0,2.8,4.9
supreme,brand_supreme_hoodie,good,m,76,42.32,34.5,8.0,200.0,10.4,8.8
adidas,brand_adidas_shoes,good,5,75,12.81,10.0,3.0,40.0,3.5,5.7
levi's,brand_levis,good,w34,75,9.48,10.0,3.0,25.0,3.9,5.3
next,womens_dresses,very good,s,75,3.95,3.5,1.5,16.0,3.9,5.6
palace,brand_palace_hoodie,good,m,75,34.7,25.0,9.0,145.0,9.2,8.3
zara,womens_skorts,new with tags,s,74,17.75,18.99,4.5,45.0,5.8,7.1
nike,brand_nike_tech_fleece_trousers,very good,xs,74,13.47,10.75,3.0,70.0,7.3,7.5
nike,brand_nike_tech_fleece_hoodie,very good,xs,74,16.19,14.0,3.0,79.99,6.5,8.0
supreme,brand_supreme_t_shirt,very good,l,74,23.73,20.5,6.5,70.0,8.9,8.8
next,womens_tops_and_tshirts,very good,m,73,4.0,3.0,1.0,16.0,3.2,4.8
nike,brand_nike_tracksuit,good,l,72,15.53,10.0,3.0,75.0,4.2,5.9
carhartt,brand_carhartt_jacket,good,m,72,37.36,30.0,9.0,290.0,4.2,6.9
supreme,brand_supreme_shirt,new without tags,m,72,38.23,35.0,3.0,150.0,7.2,7.5
bershka,brand_bershka,good,s,71,6.11,5.0,3.0,24.0,3.9,5.7
h&m,brand_hm,good,s,71,4.82,4.0,3.0,18.7,3.3,5.3
nike,brand_nike_t_shirt,good,s,71,6.03,4.5,3.0,50.0,3.8,6.0
marks & spencer,womens_dresses,very good,l,71,5.4,4.0,1.5,24.0,2.3,5.0
next,womens_dresses,very good,l,70,4.17,4.0,1.0,12.0,3.9,5.4
palace,brand_palace,very good,s,70,37.9,29.99,6.0,150.0,7.9,7.7
adidas,activewear,very good,m,70,16.23,12.0,2.0,89.99,4.2,5.6
polo ralph lauren,brand_ralph_lauren_shirt,very good,xl,70,15.62,12.75,4.0,55.0,4.3,5.6
zara,womens_jeans,very good,m,70,7.49,5.25,2.5,25.0,4.0,5.0
levi's,brand_levis,good,s,70,7.09,6.0,3.0,30.0,4.5,5.8
shein,womens_dresses,very good,m,69,3.64,3.0,1.0,15.0,7.3,5.4
ralph lauren,brand_ralph_lauren_shirt,good,m,69,9.43,9.0,3.0,22.0,3.6,5.1
adidas,brand_adidas,new with tags,m,68,16.21,13.5,3.0,50.0,2.1,4.8
nike,brand_nike_tracksuit,new without tags,m,68,24.9,20.0,5.0,90.0,3.4,5.5
levi's,brand_levis,good,w32,68,10.78,10.0,3.5,52.0,4.5,5.8
carhartt,brand_carhartt_jacket,good,l,67,37.83,30.0,10.0,170.0,5.1,7.4
zara,womens_jumpers_and_sweaters,very good,s,67,6.52,5.0,1.0,25.0,2.8,5.0
nike,brand_nike_t_shirt,new with tags,s,67,11.59,9.0,4.0,60.0,3.6,5.5
shein,womens_tops_and_tshirts,very good,s,67,1.67,1.45,1.0,10.0,7.4,6.1
palace,brand_palace_shirt,very good,xl,67,28.14,20.33,9.99,138.0,8.3,7.1
supreme,brand_supreme_hoodie,very good,xl,67,80.68,60.0,10.0,288.0,8.9,8.9
h&m,womens_dresses,very good,m,66,3.64,3.0,1.0,15.0,4.5,6.1
nike,brand_nike_air_max_95,very good,8,66,55.15,50.0,15.0,159.99,4.2,6.3
h&m,brand_hm,new with tags,l,66,9.73,7.0,3.0,55.0,2.9,4.7
nike,brand_nike_air_max_95,very good,6,65,36.91,30.0,14.0,80.0,5.6,6.8
nike,brand_nike,very good,5,65,19.71,16.0,3.0,50.0,2.8,4.8
supreme,brand_supreme_hoodie,good,l,65,50.63,40.0,10.0,265.0,9.3,8.4
marks & spencer,womens_tops_and_tshirts,very good,s,64,4.0,3.0,1.0,16.0,2.7,4.7
carhartt,brand_carhartt_jacket,new without tags,m,64,55.08,50.0,14.94,129.99,3.9,6.6
nike,brand_nike_t_shirt,new with tags,m,64,13.9,12.0,4.0,40.0,3.1,5.2
marks & spencer,womens_jeans,very good,s,64,7.98,5.0,1.5,65.0,2.2,5.0
levi's,brand_levis,very good,w33,63,14.5,10.0,6.0,65.0,3.5,5.2
polo ralph lauren,brand_ralph_lauren_shirt,very good,s,63,18.43,16.0,3.0,55.0,4.0,5.5
nike,brand_nike_air_max_95,very good,9,63,64.86,50.0,14.0,160.0,3.8,6.6
unknown,brand_carhartt,very good,unknown,63,19.22,15.0,6.5,55.0,2.7,5.3
nike,shoes,very good,8,63,32.94,25.0,10.0,135.0,3.2,5.3
new look,womens_tops_and_tshirts,very good,m,63,2.93,3.0,1.0,12.0,5.0,4.8
unknown,brand_palace,new without tags,unknown,63,19.28,10.0,3.0,150.0,5.4,7.4
next,womens_jeans,very good,s,63,5.47,4.5,1.0,25.0,2.1,5.0
new look,womens_outerwear,very good,m,63,7.13,5.0,2.0,45.0,3.6,5.8
marks & spencer,womens_jumpers_and_sweaters,very good,s,62,6.39,4.75,1.0,17.0,2.5,4.8
polo ralph lauren,brand_ralph_lauren_polo_shirt,good,l,62,10.3,9.0,4.0,40.0,4.0,5.6
carhartt,brand_carhartt,very good,one size,61,11.34,10.0,3.0,25.0,1.6,4.6
adidas,activewear,very good,l,61,15.45,10.0,2.5,59.99,3.4,5.3
carhartt,brand_carhartt,very good,w36,61,23.86,22.0,7.0,85.0,3.8,6.1
nike,shoes,very good,9,61,32.79,25.0,7.0,125.0,2.2,5.1
supreme,brand_supreme_shirt,good,l,61,20.41,20.0,3.0,45.0,7.5,7.7
nike air,brand_nike_air_max_95,very good,6,60,29.54,29.25,10.0,65.0,7.5,9.3
levi's,brand_levis,very good,w38,60,14.5,14.0,7.0,38.0,4.8,5.6
palace,brand_palace_shirt,good,l,60,17.93,16.5,5.0,50.0,8.3,8.8
palace,brand_palace,very good,l,59,63.29,50.0,14.0,345.0,6.1,8.0
ralph lauren,brand_ralph_lauren_polo_shirt,good,m,59,12.48,9.0,4.0,75.0,3.6,6.1
levi's,jeans,very good,w32,59,15.14,12.0,6.0,70.0,3.7,5.2
shein,womens_skorts,very good,s,59,2.31,2.0,1.0,7.0,5.9,6.9
nike,brand_nike,very good,5.5,58,19.06,15.0,3.0,55.0,3.7,4.3
nike,trousers,very good,l,58,12.68,8.54,3.0,40.0,2.4,4.8
supreme,brand_supreme_shirt,very good,xl,58,29.91,25.0,5.5,100.0,7.7,7.5
supreme,brand_supreme_t_shirt,good,m,58,22.66,21.0,5.0,95.0,8.5,9.0
carhartt,brand_carhartt,good,l,57,16.47,15.0,4.0,65.0,3.2,5.8
primark,womens_jumpers_and_sweaters,very good,m,57,2.9,2.04,1.0,18.0,3.7,5.1
ralph lauren,brand_ralph_lauren_hoodie,very good,xl,57,24.17,22.0,5.0,90.0,4.6,6.6
adidas,brand_adidas,new with tags,s,57,17.37,12.0,3.0,70.0,3.0,4.6
nike,shoes,very good,10,57,31.15,25.0,4.0,100.0,2.8,4.8
carhartt,brand_carhartt,very good,w38,57,20.95,19.99,5.0,40.0,5.1,5.9
polo ralph lauren,brand_ralph_lauren_hoodie,good,m,57,17.69,15.0,5.0,45.0,3.2,6.4
marks & spencer,womens_outerwear,very good,s,57,11.79,10.0,1.5,45.0,3.2,5.0
levi's,jeans,very good,w34,57,19.66,16.99,6.0,199.99,2.9,4.8
levi's,womens_jeans,very good,s,57,13.07,13.0,5.37,28.0,5.2,4.8
nike,shoes,very good,7,56,26.86,25.0,7.0,70.0,3.6,5.4
new look,womens_outerwear,very good,s,56,7.17,5.0,2.0,34.99,2.3,5.6
nike,brand_nike_tech_fleece_hoodie,good,l,56,11.64,10.0,4.0,55.0,7.5,8.6
polo ralph lauren,brand_ralph_lauren_hoodie,good,l,56,16.1,15.0,3.0,38.99,4.9,6.3
adidas,brand_adidas_shoes,good,9,55,15.37,14.0,4.0,42.0,4.5,5.4
carhartt,brand_carhartt,good,m,55,16.48,12.0,5.0,66.6,2.8,6.1
montirex,activewear,very good,m,55,14.69,8.0,4.0,60.0,2.9,5.1
levi's,brand_levis,good,l,55,8.89,6.0,3.0,40.0,4.2,6.3
nike,brand_nike_t_shirt,good,xl,55,6.03,5.0,3.0,35.0,3.9,6.0
river island,womens_jeans,very good,m,54,6.61,5.0,1.99,27.5,4.3,4.9
h&m,womens_jeans,very good,m,54,5.43,4.0,1.5,35.0,3.6,5.2
adidas,brand_adidas,new without tags,m,54,10.04,10.0,3.0,35.0,2.7,5.5
polo ralph lauren,brand_polo_ralph_lauren,good,s,54,11.07,8.5,3.0,39.99,2.6,6.3
nike,brand_nike_air_max_95,very good,7,54,48.39,40.0,15.0,132.0,4.0,6.4
adidas,brand_adidas,good,l,54,9.71,6.5,3.0,40.0,4.2,5.5
adidas,brand_adidas,very good,xs,53,6.94,5.0,3.0,30.0,2.9,5.9
levi's,brand_levis,very good,w31,53,13.3,11.0,4.99,42.0,3.0,6.0
marks & spencer,womens_dresses,very good,s,53,5.61,4.0,2.0,15.0,4.2,5.7
ralph lauren,brand_ralph_lauren_shirt,good,l,52,12.15,11.0,5.0,25.0,3.8,5.6
polo ralph lauren,brand_polo_ralph_lauren,very good,xs,52,16.09,13.99,3.0,35.0,4.2,5.9
h&m,brand_hm,new without tags,l,52,8.4,6.0,3.0,25.0,2.3,4.9
levi's,brand_levis,very good,other,52,11.77,10.0,3.0,60.0,4.6,5.5
new look,womens_tops_and_tshirts,very good,s,52,4.11,3.0,1.0,44.0,3.8,4.8
the north face,outerwear,very good,m,52,38.45,33.0,10.0,120.0,3.1,5.0
ralph lauren,brand_ralph_lauren_polo_shirt,good,l,52,9.14,8.0,3.0,29.95,4.4,6
palace,brand_palace_hoodie,very good,xl,51,71.51,55.0,25.0,200.0,8.9,8.8
nike,trousers,very good,s,51,10.04,8.0,3.0,45.0,3.1,5.1
polo ralph lauren,brand_polo_ralph_lauren,very good,xxl,51,15.09,12.0,4.99,75.0,4.7,5.8
polo ralph lauren,brand_ralph_lauren_polo_shirt,good,m,51,9.94,9.0,3.0,30.0,3.8,5.8
polo ralph lauren,brand_ralph_lauren_hoodie,very good,xs,51,20.68,17.95,6.0,50.0,4.4,6.1
bershka,brand_bershka,good,m,51,5.31,4.0,3.0,16.0,2.8,5.7
ralph lauren,brand_ralph_lauren_shirt,very good,xs,51,17.12,14.96,3.5,40.0,3.3,4.3
zara,womens_skorts,new with tags,m,51,15.32,14.0,5.0,47.0,5.2,7.4
