listing_id,url,platform,category,title,current_price,original_price,price_drops,last_price_change,currency,brand,size,condition,imageUrl,first_seen,last_seen,status,date_disappeared,consecutive_misses
11,https://www.vinted.co.uk/items/9799501179-bomber-jacket?referrer=catalog,Vinted,mens_outerwear,Bomber jacket,7.00,7.00,0,,GBP,ASOS,M,Very good,https://images1.vinted.net/t/05_02447_7k3hiRUpUVorFizGNwezmNZx/310x430/d159c9a4.webp?s=41325e7920e12359902fc1f390a38e1aa880432d,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
12,https://www.vinted.co.uk/items/9799920778-river-island-suede-jacket?referrer=catalog,Vinted,mens_outerwear,River island suede jacket,8.00,8.00,0,,GBP,River Island,S,New without tags,https://images1.vinted.net/t/05_01477_vCFH4hTYkzXtPBLonP8JA1xj/310x430/928c7b06.webp?s=c019a6ab183cbe400d58e1c4ab8507c8901ad3a3,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
13,https://www.vinted.co.uk/items/9787194977-nike-gilet?referrer=catalog,Vinted,mens_outerwear,Nike Gilet,10.00,10.00,0,,GBP,Nike,L,Very good,https://images1.vinted.net/t/01_01056_8aS4eE37WjWiJkoJf11w8PhE/310x430/99f9a7e4.webp?s=fac448381998ae0297c6fc77d8e76b0b64689519,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
14,https://www.vinted.co.uk/items/9794100898-jacket?referrer=catalog,Vinted,mens_outerwear,Jacket,7.00,7.00,0,,GBP,Regatta,M,Very good,https://images1.vinted.net/t/05_00ac1_ytRZSRa8ZtgxHPdAmBH9MfCX/310x430/fa8cce49.webp?s=0bcca3656dbbbe5abaf9975ca059b1e872d22065,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
15,https://www.vinted.co.uk/items/9805247536-mens-price-of-wales-harrington-jacket-s-size?referrer=catalog,Vinted,mens_outerwear,Men’s price of wales Harrington jacket S size,17.00,17.00,0,,GBP,,S,New with tags,https://images1.vinted.net/t/05_00c46_2AnCKYK773sGPF6Kg86hHjKe/310x430/fa328d18.webp?s=e4695bca1f3db066240f111c2a0980068bc20eb3,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
16,https://www.vinted.co.uk/items/9804115225-uniqlo-packable-parka-medium?referrer=catalog,Vinted,mens_outerwear,Uniqlo packable parka medium,22.00,22.00,0,,GBP,Uniqlo,M,Very good,https://images1.vinted.net/t/06_02114_VXc74o898TBFRhn6RF7RFhRj/310x430/cce82923.webp?s=7bb0a852177de080484281215a46ecfc4ebc15a1,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
17,https://www.vinted.co.uk/items/9797521639-columbia-mens-medium-vintage-blue-bugaboo-wind-breaker-jacket?referrer=catalog,Vinted,mens_outerwear,Columbia mens medium vintage blue bugaboo wind breaker jacket,10.00,10.00,0,,GBP,Columbia,M,Very good,https://images1.vinted.net/t/02_00c5c_KYEY4yiStr5p8c2HKmouJzUv/310x430/c8bf6eb1.webp?s=4b133b7885e202cebe247e11d11549b18f94e816,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
18,https://www.vinted.co.uk/items/9806607492-tommy-jeans-denim-jacket?referrer=catalog,Vinted,mens_outerwear,Tommy Jeans Denim Jacket,17.00,17.00,0,,GBP,Tommy Jeans,L,Very good,https://images1.vinted.net/t/06_00eb5_AWPrwFWozZ3ZfbfP6nGaD3tU/310x430/1b7cdb8a.webp?s=c7a21e6a8526fa0c000a335d01fac3cfd66d2265,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
19,https://www.vinted.co.uk/items/9802962971-thomas-nash-brown-field-jacket-mens-size-s?referrer=catalog,Vinted,mens_outerwear,Thomas Nash Brown Field Jacket Men’s Size S,20.00,20.00,0,,GBP,Thomas Nash,S,Satisfactory,https://images1.vinted.net/t/03_01c1b_teR8WgtJ6r5js4dTNgpkiDGq/310x430/e62b1662.webp?s=7a22fdf1b1827d82134706fcc64ba0652426bc8b,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
20,https://www.vinted.co.uk/items/9797232068-retro-windbreaker?referrer=catalog,Vinted,mens_outerwear,Retro windbreaker,4.00,4.00,0,,GBP,,M,Good,https://images1.vinted.net/t/02_0262c_HFnszWNFv8MP1EY6JxFff4Qg/310x430/b3c82131.webp?s=545387929f52d950282d8c37f5a9675f4a2542d2,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
21,https://www.vinted.co.uk/items/9797170669-rydale-brown-fleece-long-sleeve-14-zip?referrer=catalog,Vinted,mens_outerwear,Rydale Brown fleece long sleeve 1/4 zip,20.00,20.00,0,,GBP,Rydale,M,Very good,https://images1.vinted.net/t/06_00c8d_xbe8p91AXsnn2Hf1JWMR217N/310x430/fcbb29db.webp?s=f9b1b9e2c9b0564c701f77f036e4f1a2130d1361,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
22,https://www.vinted.co.uk/items/9798016097-blue-varsity-jacket?referrer=catalog,Vinted,mens_outerwear,Blue varsity jacket,13.00,13.00,0,,GBP,Shein,L,Very good,https://images1.vinted.net/t/06_0126a_XsoqtrLqayZWQ9UNyMzAghZh/310x430/cc347934.webp?s=8911a77b0afb7b6cdf99d1281f08c59dc09d4892,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
23,https://www.vinted.co.uk/items/9808636293-calvin-klein-mens-shacket-xl-black?referrer=catalog,Vinted,mens_outerwear,Calvin Klein men’s Shacket XL Black,15.00,15.00,0,,GBP,Calvin Klein,XL,Very good,https://images1.vinted.net/t/05_008fe_nnq2Sr46DfAFGgEE5detR5fw/310x430/28b582f7.webp?s=6b72de21292ce4b337820e3e0aa7afda1779aacf,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
24,https://www.vinted.co.uk/items/9798167896-zara-puffer-coat?referrer=catalog,Vinted,mens_outerwear,Zara puffer coat,68.00,68.00,0,,GBP,Zara,S,New with tags,https://images1.vinted.net/t/02_0264d_thBRoeWAbMm8GtMsGjL4RccQ/310x430/a45d803d.webp?s=b00dbae8498d439dfc04e8110f0767475f7ea7d2,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
25,https://www.vinted.co.uk/items/9806588951-mens-vintage-cashmere-blend-overcoat-large?referrer=catalog,Vinted,mens_outerwear,Men’s Vintage Cashmere Blend Overcoat. Large,20.00,20.00,0,,GBP,Bruce and Borough,L,Very good,https://images1.vinted.net/t/02_01bce_gkcygPXnGbVszWBWX3afbPCE/310x430/44dc1ccc.webp?s=8e48a8ce5c3e1cc318d28dd5926ed950554ed644,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
26,https://www.vinted.co.uk/items/9803800163-under-armour-lightweight-jacket-mens-xxl-excellent-condition?referrer=catalog,Vinted,mens_outerwear,Under armour lightweight jacket men’s XXL excellent condition,20.00,22.50,1,2026-08-28T21:35:08.359714+00:00,GBP,Under Armour,XXL,Very good,https://images1.vinted.net/t/02_023fb_2WB2gX1i5W2JwdeWcG2wNmN2/310x430/d1c59e1c.webp?s=40aaa9421b71ba226954e6b56cdf4202ac9389b3,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
27,https://www.vinted.co.uk/items/9808708109-nike-jacket?referrer=catalog,Vinted,mens_outerwear,Nike Jacket,15.00,15.00,0,,GBP,Nike,XL,Very good,https://images1.vinted.net/t/02_00288_E2kzz9414bKN51w6Y3JD7D8E/310x430/c4ccc39c.webp?s=08b38a6ece7974dadb3935a125fa3c751bf32e69,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
28,https://www.vinted.co.uk/items/9804904359-body-warmer-black-size-medium?referrer=catalog,Vinted,mens_outerwear,Body warmer black size medium,30.00,30.00,0,,GBP,body Warner,M,New with tags,https://images1.vinted.net/t/05_017e8_9aoNxD9uiC22SLu1iqYuagN8/310x430/66f3b0de.webp?s=9458e908231eb9ecbde05045583e7b95642abab5,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
29,https://www.vinted.co.uk/items/9800053966-horse-valley-jacket?referrer=catalog,Vinted,mens_outerwear,Horse valley jacket,4.00,4.00,0,,GBP,H&M,M,Very good,https://images1.vinted.net/t/02_0034d_ZnH2WaC3zx7JDkrC1c79JSTZ/310x430/293df337.webp?s=80f47c56b5104474a2d7718363bc6e30c393e611,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
30,https://www.vinted.co.uk/items/9794050403-wesc-shacket?referrer=catalog,Vinted,mens_outerwear,WeSC shacket,10.52,10.52,0,,GBP,WeSC,XL,Very good,https://images1.vinted.net/t/05_00309_9woNwdJRpx6TqHs9K6Gvw1fn/310x430/09ea5194.webp?s=78fd5b609113c0c1696ed5f89995262547997fef,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
31,https://www.vinted.co.uk/items/9782864796-hm-jacketshacket-in-beige-very-good-condition?referrer=catalog,Vinted,mens_outerwear,"H&M jacket/shacket in beige, very good condition",4.90,4.90,0,,GBP,H&M,S,Very good,https://images1.vinted.net/t/05_008cf_ZZ4WT263V7QuaTBwstrtSNNv/310x430/18a4360f.webp?s=ce6b874a9a2a16297ddb6e2d27b0c64384789d37,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
32,https://www.vinted.co.uk/items/9789438654-vintage-puma-mens-blackwhite-windbreaker-jacket?referrer=catalog,Vinted,mens_outerwear,Vintage Puma Mens Black/White windbreaker Jacket,10.00,10.00,0,,GBP,Puma,One size,Very good,https://images1.vinted.net/t/03_00e50_mD9ueXKBSeAjT4BwTt6dhKHq/310x430/58347e18.webp?s=f0b4bd0a89213904a38f9fb90ff536b34f8b5748,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
33,https://www.vinted.co.uk/items/9800969786-superdry-jacket?referrer=catalog,Vinted,mens_outerwear,Superdry jacket,16.00,16.00,0,,GBP,Superdry,L,Very good,https://images1.vinted.net/t/01_014fa_VJY97Rx2VtAo93mTZ16Couh7/310x430/628575a6.webp?s=f7b1a172bfcc9bd2ee0ebbfc2c6e006c6e0fa7d0,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
34,https://www.vinted.co.uk/items/9801759220-ice-cream-workwear-jacket?referrer=catalog,Vinted,mens_outerwear,Ice cream workwear jacket,40.00,40.00,0,,GBP,Icecream,M,New with tags,https://images1.vinted.net/t/05_0176d_e9YRBtVUv3sMqDAguEpUcK9y/310x430/1691b1d4.webp?s=c6686f1d5172bdf6d1b739a44a7c94f4ce17985c,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
35,https://www.vinted.co.uk/items/9805213770-the-north-face-coat?referrer=catalog,Vinted,mens_outerwear,The North Face coat,35.00,35.00,0,,GBP,The North Face,M,New without tags,https://images1.vinted.net/t/06_00ab8_mfYUdFxBxgfBKFXEaDmw7WEA/310x430/111c4094.webp?s=e1d177347f5a6d11a60b7250d371a947a2b33ad6,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,active,,1
36,https://www.vinted.co.uk/items/9798505946-nike-mens-windbreaker?referrer=catalog,Vinted,mens_outerwear,Nike mens windbreaker,15.00,15.00,0,,GBP,Nike,M,Very good,https://images1.vinted.net/t/06_02635_P3ri4rxgdqPHv3KryKtnJQa3/310x430/430b6e1d.webp?s=890b8e408119b186e5487a73c60f08cb1b7a8e6e,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
37,https://www.vinted.co.uk/items/9797983455-bershka-motor-sports-racing-jacket-bomber-jacket-size-small?referrer=catalog,Vinted,mens_outerwear,Bershka Motor Sports Racing Jacket Bomber Jacket (size small),25.00,25.00,0,,GBP,Bershka,S,Very good,https://images1.vinted.net/t/02_003f3_TR3a6WcvAi12i6xG5Z3MZiq5/310x430/0c524dc1.webp?s=dee8783f0326b40cab78cdddd7d26029526f33f0,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,active,,1
38,https://www.vinted.co.uk/items/9806890818-sahara-style-jacket-by-zara?referrer=catalog,Vinted,mens_outerwear,Sahara style jacket by Zara.,18.00,18.00,0,,GBP,Zara,M,New with tags,https://images1.vinted.net/t/06_01b2a_ciuYT6cdJ299STuBi1vwwCAU/310x430/7ececa4e.webp?s=2d3f09b15a5db1be4b660a2c9d1678f351a9e075,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
39,https://www.vinted.co.uk/items/9805750313-wynnster-mens-waterproof-jacket-size-l?referrer=catalog,Vinted,mens_outerwear,Wynnster Men’s Waterproof Jacket size L,10.00,10.00,0,,GBP,Wynnster,L,Very good,https://images1.vinted.net/t/05_00239_w85bSgzeh2A2dQzwXxWvq9em/310x430/68700f0a.webp?s=56f02d2e10d9975303796addca82d66cd7f3e731,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
40,https://www.vinted.co.uk/items/9806423192-pretty-green-felton-jacket?referrer=catalog,Vinted,mens_outerwear,Pretty Green Felton Jacket,34.00,34.00,0,,GBP,Pretty Green,XXL,Very good,https://images1.vinted.net/t/06_025ce_kPKeGi8fEvy7kLNejQGME7is/310x430/49ddf97e.webp?s=237b5061f62dd64401853d59f9b216e367ccdb90,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
41,https://www.vinted.co.uk/items/9807629979-mens-black-jacket-medium?referrer=catalog,Vinted,mens_outerwear,Men’s Black Jacket (Medium),30.00,30.00,0,,GBP,The North Face,M,Very good,https://images1.vinted.net/t/05_012e8_epV5MYhwkuvFDYWB9W1DJMTG/310x430/76a52681.webp?s=7f233b8f6ce166f9192bea46fc1b6dc4d2e77688,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
42,https://www.vinted.co.uk/items/9796092087-j-crew-mens-lightweight-puffer-gillet-jacket?referrer=catalog,Vinted,mens_outerwear,J Crew Men’s lightweight puffer Gillet jacket,10.00,10.00,0,,GBP,J.Crew,L,Very good,https://images1.vinted.net/t/06_01bf2_LTj4Txt1Z9fCasKtmofkwP9n/310x430/83d10aea.webp?s=133464e4bffa63528ba87f782463e6e7ee49b8d8,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
43,https://www.vinted.co.uk/items/9782593697-gilet?referrer=catalog,Vinted,mens_outerwear,Gilet,4.00,4.00,0,,GBP,Lincoln,XXL,Very good,https://images1.vinted.net/t/01_015d3_MFmXhjqEWtidVjFZTXBczHkN/310x430/b58f312e.webp?s=caebac7504e75a2c2bbeeb186b5e7a30b01dbeb9,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
44,https://www.vinted.co.uk/items/9803269845-fjern-forsvar-eco-walking-jacket?referrer=catalog,Vinted,mens_outerwear,Fjern Forsvar Eco Walking Jacket,38.00,38.00,0,,GBP,fjern,M,Very good,https://images1.vinted.net/t/06_00226_KD3jvznGhNf4pwdvyeu7WzY9/310x430/db8e336d.webp?s=608aa8403c6147293c6312cdabad383ee070d7db,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
45,https://www.vinted.co.uk/items/9797620851-zara-burgundy-and-cream-varsity-bomber-jacket-size-m?referrer=catalog,Vinted,mens_outerwear,Zara Burgundy and Cream Varsity Bomber Jacket - Size M,18.00,18.00,0,,GBP,Zara,M,Very good,https://images1.vinted.net/t/03_01e4f_UVBErDFQ2L36rEcpopcvjME7/310x430/df7b612a.webp?s=8cc119574a339f422bd6b7fb29eb23be7e496b08,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
46,https://www.vinted.co.uk/items/9790444309-arne-grey-overshirt-medium?referrer=catalog,Vinted,mens_outerwear,Arne grey overshirt medium,15.00,15.00,0,,GBP,ARNE,M,Very good,https://images1.vinted.net/t/03_026e8_XQx7GbsQqRXE1Pg33i9C9Bcw/310x430/0777e12b.webp?s=e88c755f95945fc24e993f9de349a90809fa7e4d,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,active,,1
47,https://www.vinted.co.uk/items/9803139264-ferrari-f1-racing-jacket?referrer=catalog,Vinted,mens_outerwear,Ferrari f1 racing jacket,35.00,35.00,0,,GBP,Ferrari,M,New without tags,https://images1.vinted.net/t/05_015e6_RqJgEVqcHbeUzHbSySJF1e82/310x430/5e6f4e58.webp?s=50284152ea621f28c99af8fb96e94dc25d21fac2,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
48,https://www.vinted.co.uk/items/9789113564-zara-jacket?referrer=catalog,Vinted,mens_outerwear,Zara jacket,10.00,10.00,0,,GBP,Zara Man,S,Very good,https://images1.vinted.net/t/03_014c9_aNAZnGgkZAMa6vU1UF4GU5Ht/310x430/fe759a26.webp?s=73a16394b7700795360adc72bdef1f9567217ea6,2026-08-28T19:11:09.775201+00:00,2026-08-28T19:11:09.775201+00:00,likely_sold_or_removed,2026-08-29T04:59:51.255707+00:00,2
49,https://www.vinted.co.uk/items/9793728579-new-size-small?referrer=catalog,Vinted,mens_outerwear,New size small,11.00,11.00,0,,GBP,Karrimor,S,New with tags,https://images1.vinted.net/t/04_00cc0_7afFs5Adv8YemySb7kBdwd4r/310x430/920879cf.webp?s=2f008e78c6679e35352bfd1695c731393088222c,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
50,https://www.vinted.co.uk/items/9797947758-vintage-leather-jacket?referrer=catalog,Vinted,mens_outerwear,Vintage leather jacket,30.00,30.00,0,,GBP,Ciro Citterio,XL,Very good,https://images1.vinted.net/t/01_0258f_YVYWJWtRMhWg6wwx2y9UqPjo/310x430/ab0bbc76.webp?s=ab45f38ecd75f133f1ee2fb12579d5d55ecb4490,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
51,https://www.vinted.co.uk/items/9787699594-mens-ms-shacket-xl?referrer=catalog,Vinted,mens_outerwear,Men’s M&S Shacket - XL,8.50,8.50,0,,GBP,Marks & Spencer,XL,Very good,https://images1.vinted.net/t/02_002b6_sjLf3G4eER1MRNW1yvyrwsek/310x430/f2b6ae63.webp?s=2c78071c803e7d1118ce90830afb85b5ae37a0c5,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
52,https://www.vinted.co.uk/items/9808531771-small-carhartt-leather-faux-browntan-jacket-durable-classic-style?referrer=catalog,Vinted,mens_outerwear,Small Carhartt Leather Faux Brown/Tan Jacket Durable Classic Style,32.54,32.54,0,,GBP,Carhartt,S,Very good,https://images1.vinted.net/t/04_00f26_AhqV8L6SRDR7mk3xJ1ewWn8n/310x430/7eadf2a5.webp?s=5688d5ca7d93c368d8d76b830738a1446a51fccd,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,active,,1
53,https://www.vinted.co.uk/items/9796556313-cortiez-windbreaker-jacket-m-s-size-available?referrer=catalog,Vinted,mens_outerwear,Cortiez Windbreaker jacket M-S size Available,43.00,43.00,0,,GBP,Corteiz,M,New without tags,https://images1.vinted.net/t/05_008e7_sgW6HszwNhY913EjPvE8EMQz/310x430/15ff241f.webp?s=1dd5db9c96d0a640161278f6fd73bf0c0b1fd17d,2026-08-28T19:11:09.775201+00:00,2026-08-28T21:35:08.359714+00:00,active,,1
54,https://www.vinted.co.uk/items/9804975802-mens-swede-jacket?referrer=catalog,Vinted,mens_outerwear,Mens Swede Jacket,5.00,6.00,1,2026-08-28T21:35:08.359714+00:00,GBP,H&M,L,Very good,https://images1.vinted.net/t/06_00ef8_brUMFRyi1j21E6nVcM3Wzn1K/310x430/d2364f8c.webp?s=e5aeefb30ae6dc71fbcc59c410ebdf67f4ead17e,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
55,https://www.vinted.co.uk/items/9797891642-soul-star-white-puffer-jacket?referrer=catalog,Vinted,mens_outerwear,Soul Star White Puffer Jacket,18.00,18.00,0,,GBP,Soulstar,M,Good,https://images1.vinted.net/t/06_0200d_seYDjtVGDqEtdnwJVtKPGQYz/310x430/725cc2ed.webp?s=39a800d19320b60a9b7c1623dc7972539376a177,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
56,https://www.vinted.co.uk/items/9806216747-mertra-coat?referrer=catalog,Vinted,mens_outerwear,Mertra coat,70.00,70.00,0,,GBP,MERTRA,S,Very good,https://images1.vinted.net/t/06_0140d_wZWDXLSXS78RoGFwbWVw2aDe/310x430/25e003e1.webp?s=da546f133dc4f7a60df2777056c1daf12c5ecdcf,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:49.516823+00:00,active,,0
57,https://www.vinted.co.uk/items/9787341536-wind-breaker-water-proof-jacket?referrer=catalog,Vinted,mens_outerwear,Wind breaker water proof jacket,4.00,4.00,0,,GBP,George,4XL,Good,https://images1.vinted.net/t/02_00f53_VLvC8iDCDQq124k6yNQtbs5U/310x430/6444dde4.webp?s=be763b9deeaed89d1b7c498cec3d23ac9ebcfa60,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:42.912930+00:00,active,,0
58,https://www.vinted.co.uk/items/9806195307-mens-tactical-hoodie-windproof-military-fleece-jacket-with-zip-pockets-black-s?referrer=catalog,Vinted,mens_outerwear,Men's Tactical Hoodie Windproof Military Fleece Jacket with Zip Pockets - Black S,22.00,22.00,0,,GBP,TACVASEN,S,New with tags,https://images1.vinted.net/t/01_00aed_zCuKAust8jJoB7GkJS2uYiU5/310x430/d1742771.webp?s=d5a3cf8c9df2fbef2d4037a47d19a67c2add9e4e,2026-08-28T19:11:09.775201+00:00,2026-08-29T04:41:49.516823+00:00,active,,0
