listing_id,url,title,brand,category,condition,size,current_price,group_avg_price,estimated_profit,pct_below_avg,group_avg_days_to_disappear,group_sample_size,resale_score
479736,https://www.vinted.co.uk/items/9947438640-mens-shacket?referrer=catalog,Men’s Shacket,H&M,outerwear,Very good,XL,4.0,17.8,13.8,77.5,5.4,5,69.5
543497,https://www.vinted.co.uk/items/9963626757-mens-yellow-lacoste-polo?referrer=catalog,Men's Yellow Lacoste Polo,Lacoste,tops_and_tshirts,Very good,XL,4.0,14.27,10.27,72.0,4.0,11,69.5
408936,https://www.vinted.co.uk/items/9918268440-mens-montirex-top?referrer=catalog,Men’s montirex top,Montirex,activewear,Very good,XL,5.0,20.35,15.35,75.4,4.9,20,69.4
409268,https://www.vinted.co.uk/items/9935150454-montirex-red-mens-tshirt?referrer=catalog,Montirex red men’s tshirt,Montirex,activewear,Very good,XL,5.0,20.35,15.35,75.4,4.9,20,69.4
35559,https://www.vinted.co.uk/items/9816265329-montirex-top?referrer=catalog,Montirex top,Montirex,activewear,Very good,XL,5.0,20.35,15.35,75.4,4.9,20,69.4
495833,https://www.vinted.co.uk/items/9947406348-mens-montirex-grey-t-shirt-size-xl?referrer=catalog,Men’s Montirex Grey T-shirt size XL,Montirex,activewear,Very good,XL,5.0,20.35,15.35,75.4,4.9,20,69.4
298685,https://www.vinted.co.uk/items/9874605301-zara-womens-size-small-aviator-style-jacket?referrer=catalog,Zara women’s size  small aviator style jacket,Zara,womens_outerwear,New without tags,S / UK 8-10,5.0,19.82,14.82,74.8,4.8,27,69.3
284443,https://www.vinted.co.uk/items/9874605301-zara-womens-small-aviator-style-jacket?referrer=catalog,Zara women’s small aviator style jacket,Zara,womens_outerwear,New without tags,S / UK 8-10,5.0,19.82,14.82,74.8,4.8,27,69.3
284483,https://www.vinted.co.uk/items/9875753621-zara-jacket?referrer=catalog,Zara jacket,Zara,womens_outerwear,New without tags,S / UK 8-10,5.0,19.82,14.82,74.8,4.8,27,69.3
391538,https://www.vinted.co.uk/items/9929916802-thick-wool-tunicjumper?referrer=catalog,Thick wool tunic/jumper,Monsoon,womens_jumpers_and_sweaters,Very good,M / UK 12-14,6.0,22.4,16.4,73.2,4.4,10,69.2
519137,https://www.vinted.co.uk/items/9950168331-leather-jacket?referrer=catalog,Leather jacket,Vintage Dressing,outerwear,Very good,M,8.0,38.5,30.5,79.2,6.0,8,69.1
524826,https://www.vinted.co.uk/items/9955174320-zara-coat?referrer=catalog,Zara Coat,Zara,womens_outerwear,Very good,S / UK 8-10,5.0,20.22,15.22,75.3,5.0,98,69.1
524992,https://www.vinted.co.uk/items/9955857627-zara-shacket-eur-s?referrer=catalog,Zara Shacket  EUR S,Zara,womens_outerwear,Very good,S / UK 8-10,5.0,20.22,15.22,75.3,5.0,98,69.1
407567,https://www.vinted.co.uk/items/9244292508-black-adidas-zip-up-jacket-size-l?referrer=catalog,Black adidas zip up jacket. Size L.,adidas,jumpers_and_sweaters,Very good,L,4.0,15.96,11.96,74.9,4.9,26,69.1
549071,https://www.vinted.co.uk/items/9957634213-zara-olive-green-bike-style-faux-leather-jacket-size-small?referrer=catalog,Zara olive green bike style faux leather jacket size small,Zara,womens_outerwear,Very good,S / UK 8-10,5.0,20.22,15.22,75.3,5.0,98,69.1
549200,https://www.vinted.co.uk/items/9963529562,Ted Baker,Ted Baker,womens_outerwear,Very good,S / UK 8-10,8.0,26.56,18.56,69.9,3.6,7,69.1
320610,https://www.vinted.co.uk/items/9172061375-womens-vintage-acid-wash-uniquely-embroidered-skinny-jeans-w27xl29?referrer=catalog,Women’s vintage acid wash uniquely embroidered skinny jeans 👖 W27xL29,Vintage Dressing,womens_jeans,Very good,S / UK 8-10,5.0,24.12,19.12,79.3,6,17,69.1
536126,https://www.vinted.co.uk/items/9960975394-zara-jacket?referrer=catalog,Zara jacket,Zara,womens_outerwear,Very good,S / UK 8-10,5.0,20.22,15.22,75.3,5.0,98,69.1
